brand,handle,selectionReason,authentic,authenticVia,suggestedBucket,postUrl,imageUrl,isVideo,likes,comments,engagement,datePosted,stale,caption
Vilvah,vilvah_,authentic,true,alias,direct,https://www.instagram.com/p/Da-LpVGi_VN/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/c2d4cfdd3fae4f5facb39f5891217170.jpeg,false,459161,930,460091,2026-07-19,false,"Peak dad humour unlocked. 🔓 Going an extra mile to save himself from the sun ☀️😌 Jokes apart... Whether you’re a son, daughter, mom, dad, or the family favourite, sunscreen isn’…"
Kama Ayurveda,kamaayurvedaindia,authentic,true,alias,direct,https://www.instagram.com/p/DbVRwWKnTm5/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/16a8cf002ff940d7ba410439b82413f4.jpeg,false,21259,26,21285,2026-07-28,false,Rohit’s secret to stronger-looking hair? ​🌿 Start at the scalp with the NEW Bringaras (formerly Bringadi) Densifying & Fortifying Scalp Concentrate.​ ​ Clinically proven to reduc…
Kama Ayurveda,kamaayurvedaindia,authentic,true,alias,direct,https://www.instagram.com/p/Dac_ApXlrAn/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/22e236f44b534c798e53e088be8d1355.jpeg,false,9917,19,9936,2026-07-06,false,"@rohitsaraf with the newest addition to Bringaras.​ ​ The NEW Bringaras Densifying & Fortifying Scalp Concentrate is crafted to care for the scalp, reduce hair fall and support fu…"
Kama Ayurveda,kamaayurvedaindia,authentic,true,alias,direct,https://www.instagram.com/p/DbtQqacm5hH/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/55b79ae6ed6c4d7d9a6172640ad6f538.jpeg,false,8797,23,8820,2026-08-06,false,"For hair that holds its strength. ✨ The Bringaras Invigorating scalp & hair oil, powered by strengthening Bhringaraj and boosted with bi-fermented actives, to stimulate hair growt…"
Kama Ayurveda,kamaayurvedaindia,authentic,true,alias,direct,https://www.instagram.com/p/DbbJhO2k6iL/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/5bebf7fdc8414af9a90b5040e3990fc0.jpeg,false,8514,6,8520,2026-07-30,false,"One ritual, two essentials.🌿✨ Bringaras (formerly Bringadi) brings Ayurveda’s most revered hair root, bhringaraj, into two rituals - a rinse-out oil for strength and shine, and a…"
Kama Ayurveda,kamaayurvedaindia,authentic,true,alias,direct,https://www.instagram.com/p/DakuXPpExQz/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/5bcd666b78c840f885746eecf16eafbc.jpeg,true,6489,5,6494,2026-07-09,false,"Stronger hair begins at the scalp. Introducing the NEW Bringaras Fortifying Scalp Concentrate - a lightweight leave-in ritual that helps reduce hair fall, revitalise the scalp and…"
Vilvah,vilvah_,authentic,true,alias,direct,https://www.instagram.com/p/Db91q4CmX3y/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/eaee9a5b0aa8460095629a1d2d3d7179.jpg,false,881,67,948,2026-08-13,false,"The wait is finally over. 👀🌿 After months of formulation, testing, refining, and obsessing over every detail, Vilvah Hair Growth Serum is here. A targeted haircare formula creat…"
Lotus Herbals,jumpi._,top_performing,false,,adjacent,https://www.instagram.com/p/C6Q_T11Jnug/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/702e4b880a104f14ae2aa634dde60e0e.jpeg,false,908,24,932,2024-04-27,true,Unveil your summer glow with @lotus_herbals 💖#lotus_herbals #theultimatesunscreenfest #lotusherbals
Juicy Chemistry,righteousrootsoils,top_performing,false,,adjacent,https://www.instagram.com/p/CBCsaY5AU17/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/404cfeec53cb4961b1edf1b675a75642.jpeg,true,911,17,928,2020-06-05,true,"Repost: @curlywavynidhi... Tend to your hair as if it's your favourite (and very expensive) silk saree! That's how gentle you have to be. . . What I used, 🦁 #juicy_chemistry Sach…"
Biotique,biotique_world,authentic,true,exact,direct,https://www.instagram.com/p/DKBrOk-C7YE/,https://storage.googleapis.com/platform-storage-prod-sg/image/8a318577ea3d446b9e7b24891f93e856/8ea71f33e5d74920be2cae0eea4eae12.jpeg,false,860,3,863,2025-05-24,false,Three decades. Timeless ingredients. One purpose: skin that feels as good as it looks. #biotique #biotique_world #ayurvedicgoodness #ayurveda #skincareAI #Capsuletrend #ayurvedics…
